#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
metahouseofinstagram.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahouseofinstagram.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahyperlapse.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahyperlapse.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigboomerang.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigboomerang.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigforcreators.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigforcreators.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigreels.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigreels.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigtv.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaigtv.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagram.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagram.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramboomerang.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramboomerang.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagrameng.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagrameng.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramforbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramforbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramforcreators.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramforcreators.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramhyperlapse.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramhyperlapse.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramlayout.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramlayout.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramreels.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramreels.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramthreads.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstagramthreads.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstantarticles.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metainstantarticles.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaiqhackthefuture.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaiqhackthefuture.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metajournalismaccelerator.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metajournalismaccelerator.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
